L,h,T,E,C,FM,Xfm,AFM,Xafm
32,0,1.264000,-1.983636,0.087420,0.000005,0.005735,0.995694,0.008330
32,0,1.185000,-1.989593,0.063159,0.000002,0.003959,0.997290,0.005426
32,0,1.106000,-1.993738,0.042502,0.000006,0.002607,0.998385,0.003285
32,0,1.027000,-1.996490,0.027496,0.000004,0.001604,0.999102,0.001916
32,0,0.948000,-1.998198,0.016458,0.000004,0.000912,0.999542,0.001037
32,0,0.869000,-1.999169,0.008918,0.000003,0.000463,0.999790,0.000502
32,0,0.790000,-1.999671,0.004256,0.000000,0.000203,0.999917,0.000215
32,0,0.711000,-1.999895,0.001667,0.000002,0.000074,0.999974,0.000075
32,0,1.896000,-1.810883,0.562089,0.000062,0.034903,0.938733,0.200116
32,0,1.817000,-1.851323,0.443375,0.000029,0.028295,0.954049,0.119104
32,0,1.738000,-1.883900,0.363804,0.000074,0.025029,0.965307,0.081228
32,0,1.659000,-1.911113,0.315984,0.000071,0.020957,0.974271,0.058243
32,0,1.580000,-1.933458,0.247505,0.000020,0.016450,0.981222,0.039196
32,0,1.501000,-1.950995,0.196690,0.000001,0.013144,0.986467,0.026982
32,0,1.422000,-1.964809,0.154755,0.000019,0.010293,0.990455,0.018710
32,0,1.343000,-1.975559,0.117664,0.000003,0.007804,0.993478,0.012606
32,0,2.528000,-1.083662,0.825406,0.000058,0.093024,0.007552,20.555380
